date,country_name,cluster_name,contributor_name,market,Camel,Camel - Grade,Camel Price,Camel Image,Cattle,Cattle - Grade,Cattle - Price,Cattle Image,Goat,Goat - Grade,Goat - Price,Goat Image,Sheep,Sheep - Grade,Sheep Price,Sheep Image,gps_latitude,gps_longitude,gps_altitude,_review_status
2022-06-06,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2300,http://classic.ona.io/api/v1/files/27050979?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654498575554.jpg,Yes,Moderate (Grade 2),3100,http://classic.ona.io/api/v1/files/27050978?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654498604174.jpg,2.010336667,37.504115,546.2,Accepted
2022-04-16,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/26178226?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090501253.jpg,Yes,Moderate (Grade 2),1700,http://classic.ona.io/api/v1/files/26178227?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090541030.jpg,2.010438333,37.50402167,568.1,Accepted
2022-03-05,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/25142368?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646461267228.jpg,Yes,Emaciated (Grade 3),1100,http://classic.ona.io/api/v1/files/25142367?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646461300923.jpg,2.0102977,37.5040025,551.6,Accepted
2022-06-11,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/27161455?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654929114466.jpg,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/27161456?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654929147153.jpg,2.010376667,37.50394833,548.2,Accepted
2022-01-22,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/24424136?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642836340347.jpg,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/24424137?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642836373118.jpg,2.0104799,37.5036574,548.2,Accepted
2022-05-07,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/26465115?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903364381.jpg,Yes,Moderate (Grade 2),1000,http://classic.ona.io/api/v1/files/26465116?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903383840.jpg,2.010413333,37.50407333,545.7,Accepted
2022-01-29,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/24553611?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1643440532067.jpg,Yes,Emaciated (Grade 3),1500,http://classic.ona.io/api/v1/files/24553610?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1643440574729.jpg,2.0104108,37.5040911,538.9,Accepted
2022-06-21,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/27368022?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795938467.jpg,Yes,Moderate (Grade 2),1700,http://classic.ona.io/api/v1/files/27368024?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795957126.jpg,2.010518333,37.50392167,539.7,Accepted
2022-06-11,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/27161463?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654929272853.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/27161464?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654929294181.jpg,2.010415,37.50415,548.4,Accepted
2022-04-02,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/25917552?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881340364.jpg,Yes,Moderate (Grade 2),1700,http://classic.ona.io/api/v1/files/25917553?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881369412.jpg,2.010321667,37.50385833,544.1,Accepted
