County,CountyCode,Year,Harvested Area (HA),Production (MT),Yields (MT/HA)
Baringo,KE030,2012,"39,753","71,867",1.81
Bomet,KE036,2012,"32,697","73,278",2.24
Bungoma,KE039,2012,"96,209","2,62,381",2.73
Busia,KE040,2012,"41,990","50,102",1.19
Embu,KE014,2012,"45,215","46,750",1.03
Garissa,KE007,2012,433,411,0.95
Isiolo,KE011,2012,987,979,0.99
Kajiado,KE034,2012,"30,145","2,218",0.07
Kakamega,KE037,2012,"76,285","1,72,308",2.26
Kericho,KE035,2012,"41,971","98,549",2.35
Kiambu,KE022,2012,"44,821","27,831",0.62
Kilifi,KE003,2012,"70,672","18,625",0.26
Kirinyaga,KE020,2012,"31,935","46,562",1.46
Kisii,KE045,2012,"59,635","97,513",1.64
Kisumu,KE042,2012,"33,395","97,513",2.92
Kitui,KE015,2012,"77,210","55,238",0.72
Kwale,KE002,2012,"39,490","13,225",0.33
Laikipia,KE031,2012,"36,163","1,19,852",3.31
Lamu,KE005,2012,"20,127","19,410",0.96
Machakos,KE016,2012,"1,49,338","90,926",0.61
Makueni,KE017,2012,"1,02,825","71,782",0.7
Meru,KE012,2012,"96,244","1,42,499",1.48
Migori,KE044,2012,"78,580","97,513",1.24
Mombasa,KE001,2012,"1,003",451,0.45
Murang'a,KE021,2012,"56,654","50,462",0.89
Nakuru,KE032,2012,"89,649","2,98,974",3.33
Nandi,KE029,2012,"73,552","2,17,360",2.96
Narok,KE033,2012,"1,09,940","1,84,295",1.68
Nyamira,KE046,2012,"54,820","97,513",1.78
Nyandarua,KE018,2012,"19,588","27,442",1.4
Nyeri,KE019,2012,"33,593","26,067",0.78
Siaya,KE041,2012,"76,385","97,513",1.28
Tana River,KE004,2012,"6,269","5,357",0.85
Trans Nzoia,KE026,2012,"1,04,421","4,32,342",4.14
Uasin Gishu,KE027,2012,"91,310","2,57,649",2.82
Vihiga,KE038,2012,"18,010","27,857",1.55
West Pokot,KE024,2012,"33,035","1,10,674",3.35
Elegeyo-Marakwet,KE028,2012,"31,533","91,964",2.92
Homa Bay,KE043,2012,"67,420","97,513",1.45
Mandera,KE009,2012,215,-4,0
Marsabit,KE010,2012,274,214,0.78
Nairobi,KE047,2012,"1,018",852,0.84
Samburu,KE025,2012,"1,227","1,024",0.83
Taita Taveta,KE006,2012,"13,986","5,113",0.37
Tharaka - Nithi,KE013,2012,"26,779","38,192",1.43
Turkana,KE023,2012,"2,252","3,529",1.57
Wajir,KE008,2012,268,191,0.71
Baringo,KE030,2013,"29,117","55,805",1.92
Bomet,KE036,2013,"30,620","72,236",2.36
Bungoma,KE039,2013,"92,705","2,21,586",2.39
Busia,KE040,2013,"45,898","63,230",1.38
Embu,KE014,2013,"26,820","35,105",1.31
Garissa,KE007,2013,205,199,0.97
Isiolo,KE011,2013,"1,015","1,073",1.06
Kajiado,KE034,2013,"34,721","63,460",1.83
Kakamega,KE037,2013,"73,463","1,72,683",2.35
Kericho,KE035,2013,"41,170","80,022",1.94
Kiambu,KE022,2013,"43,210","21,609",0.5
Kilifi,KE003,2013,647,310,0.48
Kirinyaga,KE020,2013,"40,103","48,237",1.2
Kisii,KE045,2013,"63,710","1,31,023",2.06
Kisumu,KE042,2013,"32,069","61,453",1.92
Kitui,KE015,2013,"93,600","37,499",0.4
Kwale,KE002,2013,"39,910","13,245",0.33
Laikipia,KE031,2013,"5,665","4,979",0.88
Lamu,KE005,2013,"21,324","33,585",1.58
Machakos,KE016,2013,"1,33,408","92,099",0.69
Makueni,KE017,2013,"1,83,338","82,784",0.45
Meru,KE012,2013,"95,594","92,646",0.97
