County,CountyCode,Year,Harvested Area (HA),Production (MT),Yields (MT/HA)
Elegeyo-Marakwet,KE028,2012,1187,2448,2.06
Homa Bay,KE043,2012,17155,23955,1.4
Mandera,KE009,2012,285,11,0.04
Marsabit,KE010,2012,49,13,0.27
Nairobi,KE047,2012,18,4,0.22
Samburu,KE025,2012,225,925,4.11
Baringo,KE030,2012,1110,906,0.82
Bomet,KE036,2012,426,584,1.37
Bungoma,KE039,2012,1034,1154,1.12
Busia,KE040,2012,7683,8627,1.12
Embu,KE014,2012,5824,4154,0.71
Garissa,KE007,2012,120,9,0.08
Isiolo,KE011,2012,46,21,0.46
Kajiado,KE034,2012,69,16,0.24
Kakamega,KE037,2012,347,331,0.95
Kericho,KE035,2012,490,686,1.4
Kiambu,KE022,2012,0,0,0
Kilifi,KE003,2012,542,131,0.24
Kirinyaga,KE020,2012,1300,944,0.73
Kisii,KE045,2012,125,137,1.09
Kisumu,KE042,2012,11645,11823,1.02
Kitui,KE015,2012,58532,20430,0.35
Kwale,KE002,2012,958,196,0.2
Laikipia,KE031,2012,1050,1417,1.35
Lamu,KE005,2012,466,253,0.54
Machakos,KE016,2012,11539,4928,0.43
Makueni,KE017,2012,22739,11562,0.51
Taita Taveta,KE006,2012,290,104,0.36
Meru,KE012,2012,14745,15421,1.05
Migori,KE044,2012,7215,9489,1.32
Mombasa,KE001,2012,8,4,0.45
Murang'a,KE021,2012,437,217,0.5
Nakuru,KE032,2012,730,924,1.27
Nandi,KE029,2012,160,209,1.3
Narok,KE033,2012,1115,825,0.74
Nyamira,KE046,2012,279,340,1.22
Nyandarua,KE018,2012,24,21,0.88
Nyeri,KE019,2012,21,9,0.44
Siaya,KE041,2012,19185,19707,1.03
Tana River,KE004,2012,289,37,0.13
Trans Nzoia,KE026,2012,327,378,1.16
Uasin Gishu,KE027,2012,109,99,0.91
Vihiga,KE038,2012,344,300,0.87
West Pokot,KE024,2012,1732,1521,0.88
Tharaka - Nithi,KE013,2012,27331,17779,0.65
Turkana,KE023,2012,3974,3209,0.81
Wajir,KE008,2012,125,63,0.5
Elegeyo-Marakwet,KE028,2013,917,1772,1.93
Homa Bay,KE043,2013,17665,23470,1.33
Mandera,KE009,2013,1194,388,0.33
Marsabit,KE010,2013,12,2,0.2
Nairobi,KE047,2013,5,1,0.29
Samburu,KE025,2013,9,10,1.06
Taita Taveta,KE006,2013,770,90,0.12
Baringo,KE030,2013,948,822,0.87
Bomet,KE036,2013,660,584,0.88
Bungoma,KE039,2013,1472,1594,1.08
Busia,KE040,2013,12809,17752,1.39
Embu,KE014,2013,5910,5942,1.01
Garissa,KE007,2013,48,11,0.23
Isiolo,KE011,2013,144,89,0.62
Kajiado,KE034,2013,115,82,0.71
Kakamega,KE037,2013,1309,940,0.72
Kericho,KE035,2013,726,1403,1.93
Kiambu,KE022,2013,0,0,0
Kilifi,KE003,2013,513,187,0.36
Kirinyaga,KE020,2013,387,229,0.59
Kisii,KE045,2013,101,373,3.69
Kisumu,KE042,2013,11082,20264,1.83
Kitui,KE015,2013,76135,25458,0.33
Kwale,KE002,2013,1003,810,0.81
Laikipia,KE031,2013,55,25,0.45
Lamu,KE005,2013,1326,1086,0.82
Machakos,KE016,2013,11664,13065,1.12
Makueni,KE017,2013,15821,7631,0.48
Meru,KE012,2013,11555,7663,0.66
Migori,KE044,2013,5770,3918,0.68
