County,CountyCode,Year,Harvested Area (HA),Production (MT),Yields (MT/HA)
Baringo,KE030,2012,283,1556,5.5
Bomet,KE036,2012,429,4650,10.8
Bungoma,KE039,2012,3857,53274,13.8
Busia,KE040,2012,9593,88010,9.2
Elegeyo-Marakwet,KE028,2012,61,612,10
Embu,KE014,2012,357,4735,13.3
Homa Bay,KE043,2012,7440,131300,17.6
Isiolo,KE011,2012,6,70,11.7
Kajiado,KE034,2012,24,190,7.9
Kakamega,KE037,2012,4667,52250,11.2
Kericho,KE035,2012,544,4972,9.1
Kiambu,KE022,2012,2809,15201,5.4
Kilifi,KE003,2012,82,624,7.6
Kirinyaga,KE020,2012,568,10877,19.1
Kisii,KE045,2012,710,12150,17.1
Kisumu,KE042,2012,2785,41625,14.9
Kitui,KE015,2012,581,5099,8.8
Kwale,KE002,2012,595,2902,4.9
Laikipia,KE031,2012,88,517,5.9
Lamu,KE005,2012,99,1800,18.2
Machakos,KE016,2012,3185,47190,14.8
Makueni,KE017,2012,1198,12285,10.3
Meru,KE012,2012,3020,36055,11.9
Migori,KE044,2012,11835,183525,15.5
Mombasa,KE001,2012,12,93,7.8
Murang'A,KE021,2012,666,8873,13.3
Nairobi,KE047,2012,37,249,6.7
Nakuru,KE032,2012,599,5669,9.5
Nandi,KE029,2012,123,1443,11.7
Narok,KE033,2012,2360,25140,10.7
Nyamira,KE046,2012,470,5510,11.7
Nyandarua,KE018,2012,80,918,11.5
Nyeri,KE019,2012,359,3805,10.6
Siaya,KE041,2012,4495,59250,13.2
Taita Taveta,KE006,2012,149,1052,7.1
Tana River,KE004,2012,31,270,8.7
Tharaka - Nithi,KE013,2012,614,7995,13
Trans Nzoia,KE026,2012,453,7328,16.2
Uasin Gishu,KE027,2012,3,20,6.7
Vihiga,KE038,2012,1559,20802,13.3
West Pokot,KE024,2012,112,2125,19
Baringo,KE030,2013,172,1737,10.1
Bomet,KE036,2013,437,6220,14.2
Bungoma,KE039,2013,5836,135250,23.2
Busia,KE040,2013,6712,138230,20.6
Elegeyo-Marakwet,KE028,2013,46,483,10.5
Embu,KE014,2013,238,4130,17.4
Homa Bay,KE043,2013,4612,68805,14.9
Isiolo,KE011,2013,22,51,2.4
Kajiado,KE034,2013,5,70,14
Kakamega,KE037,2013,3061,25331,8.3
Kericho,KE035,2013,507,1096,2.2
Kiambu,KE022,2013,1610,28230,17.5
Kilifi,KE003,2013,367,5505,15
Kirinyaga,KE020,2013,1005,16397,16.3
Kisii,KE045,2013,484,7455,15.4
Kisumu,KE042,2013,2094,22379,10.7
Kitui,KE015,2013,482,2354,4.9
Kwale,KE002,2013,586,9220,15.7
Laikipia,KE031,2013,57,830,14.6
Lamu,KE005,2013,57,1039,18.4
Machakos,KE016,2013,3477,43134,12.4
Makueni,KE017,2013,5314,39675,7.5
Meru,KE012,2013,1326,9714,7.3
Migori,KE044,2013,10496,52168,5
Mombasa,KE001,2013,7,74,10.5
Murang'A,KE021,2013,383,3954,10.3
Nairobi,KE047,2013,21,147,7
Nakuru,KE032,2013,279,1947,7
Nandi,KE029,2013,117,1709,14.6
Narok,KE033,2013,1990,28730,14.4
Nyamira,KE046,2013,405,6510,16.1
Nyandarua,KE018,2013,83,1414,17
Nyeri,KE019,2013,383,3954,10.3
Siaya,KE041,2013,4062,47280,11.6
Taita Taveta,KE006,2013,83,1059,12.7
Tana River,KE004,2013,84,884,10.5
Tharaka - Nithi,KE013,2013,457,2135,4.7
Trans Nzoia,KE026,2013,199,1144,5.7
Uasin Gishu,KE027,2013,122,1315,10.8
Vihiga,KE038,2013,831,8312,10
West Pokot,KE024,2013,7,70,10
Baringo,KE030,2014,361,1546,4.3
Bomet,KE036,2014,2333,30971,13.3
Bungoma,KE039,2014,5499,133037,24.2
Busia,KE040,2014,6395,119970,18.8
Elegeyo-Marakwet,KE028,2014,58,652,11.2
Embu,KE014,2014,213,3138,14.7
Homa Bay,KE043,2014,7839,127725,16.3
Isiolo,KE011,2014,42,100,2.4
Kajiado,KE034,2014,3,42,14
Kakamega,KE037,2014,2998,24770,8.3
Kericho,KE035,2014,735,1568,2.1
Kiambu,KE022,2014,50,4619,92.4
Kilifi,KE003,2014,275,4125,15
Kirinyaga,KE020,2014,834,9413,11.3
Kisii,KE045,2014,1161,20317,17.5
Kisumu,KE042,2014,1573,17390,11.1
Kitui,KE015,2014,484,2336,4.8
Kwale,KE002,2014,802,650,0.8
Laikipia,KE031,2014,70,1052,15
Lamu,KE005,2014,25,482,19.1
Machakos,KE016,2014,3562,42029,11.8
Makueni,KE017,2014,4802,38268,8
Meru,KE012,2014,1230,8518,6.9
Migori,KE044,2014,10995,69642,6.3
Mombasa,KE001,2014,7,21,3
Murang'A,KE021,2014,467,4036,8.6
Nairobi,KE047,2014,25,175,7
Nakuru,KE032,2014,217,1786,8.2
Nandi,KE029,2014,102,1678,16.5
Narok,KE033,2014,2062,23214,11.3
Nyamira,KE046,2014,440,4752,10.8
Nyandarua,KE018,2014,21,245,11.7
Nyeri,KE019,2014,467,4036,8.6
Siaya,KE041,2014,3476,46306,13.3
Taita Taveta,KE006,2014,77,803,10.4
Tana River,KE004,2014,88,1385,15.8
Tharaka - Nithi,KE013,2014,244,1769,7.3
Trans Nzoia,KE026,2014,226,3115,13.8
Uasin Gishu,KE027,2014,87,986,11.3
Vihiga,KE038,2014,715,7305,10.2
West Pokot,KE024,2014,6,62,10.3
Baringo,KE030,2015,373,3975,10.7
Bomet,KE036,2015,511,7023,13.7
Bungoma,KE039,2015,6300,130274,20.7
Busia,KE040,2015,4908,73620,15
Elegeyo-Marakwet,KE028,2015,55,1296,23.6
Embu,KE014,2015,249,4980,20
Homa Bay,KE043,2015,7798,111351,14.3
Isiolo,KE011,2015,50,823,16.5
Kajiado,KE034,2015,14,142,10.1
Kakamega,KE037,2015,2237,20338,9.1
Kericho,KE035,2015,188,2381,12.7
Kiambu,KE022,2015,526,6633,12.6
Kilifi,KE003,2015,201,1655,8.2
Kirinyaga,KE020,2015,1209,7711,6.4
Kisii,KE045,2015,580,6205,10.7
Kisumu,KE042,2015,1211,14693,12.1
Kitui,KE015,2015,468,2203,4.7
Kwale,KE002,2015,1368,36828,26.9
Laikipia,KE031,2015,190,1191,6.3
Lamu,KE005,2015,127,2040,16.1
Machakos,KE016,2015,2917,43755,15
Makueni,KE017,2015,750,9344,12.5
Meru,KE012,2015,863,10508,12.2
Migori,KE044,2015,816,7648,9.4
Mombasa,KE001,2015,25,270,10.8
Murang'A,KE021,2015,378,2816,7.4
Nairobi,KE047,2015,52,420,8.1
Nakuru,KE032,2015,320,3878,12.1
Nandi,KE029,2015,192,2224,11.6
Narok,KE033,2015,1551,16870,10.9
Nyamira,KE046,2015,448,5464,12.2
Nyandarua,KE018,2015,99,1126,11.4
Nyeri,KE019,2015,396,4875,12.3
Siaya,KE041,2015,3273,58079,17.7
Taita Taveta,KE006,2015,139,1304,9.4
Tana River,KE004,2015,38,438,11.5
Tharaka - Nithi,KE013,2015,232,3243,14
Trans Nzoia,KE026,2015,315,3498,11.1
Uasin Gishu,KE027,2015,95,1325,13.9
Vihiga,KE038,2015,740,8905,12
West Pokot,KE024,2015,22,150,6.8
Baringo,KE030,2016,399,4542,11.4
Bomet,KE036,2016,2237,16293,7.3
Bungoma,KE039,2016,15310,346993,22.7
Busia,KE040,2016,3945,58095,14.7
Elegeyo-Marakwet,KE028,2016,73,1627,22.3
Embu,KE014,2016,220,1979,9
Homa Bay,KE043,2016,5024,59612,11.9
Isiolo,KE011,2016,53,666,12.6
Kajiado,KE034,2016,11,44,4
Kakamega,KE037,2016,2328,20795,8.9
Kericho,KE035,2016,236,2820,11.9
Kiambu,KE022,2016,756,7694,10.2
Kilifi,KE003,2016,157,1465,9.3
Kirinyaga,KE020,2016,838,9007,10.7
Kisii,KE045,2016,914,10092,11
Kisumu,KE042,2016,1225,15850,12.9
Kitui,KE015,2016,514,2054,4
Kwale,KE002,2016,260,340,1.3
Laikipia,KE031,2016,190,1016,5.3
Lamu,KE005,2016,95,1150,12.1
Machakos,KE016,2016,1639,16880,10.3
Makueni,KE017,2016,668,6592,9.9
Meru,KE012,2016,813,6395,7.9
Migori,KE044,2016,573,5651,9.9
Mombasa,KE001,2016,20,115,5.8
Murang'A,KE021,2016,692,5624,8.1
Nairobi,KE047,2016,48,262,5.5
Nakuru,KE032,2016,282,2468,8.8
Nandi,KE029,2016,219,2441,11.1
Narok,KE033,2016,1546,14402,9.3
Nyamira,KE046,2016,1426,24075,16.9
Nyandarua,KE018,2016,100,1049,10.5
Nyeri,KE019,2016,373,3711,9.9
Siaya,KE041,2016,2485,28380,11.4
Taita Taveta,KE006,2016,74,880,11.9
Tana River,KE004,2016,73,742,10.2
Tharaka - Nithi,KE013,2016,233,2970,12.7
Trans Nzoia,KE026,2016,329,1667,5.1
Uasin Gishu,KE027,2016,60,711,11.9
Vihiga,KE038,2016,693,9722,14
West Pokot,KE024,2016,46,453,9.8
Baringo,KE030,2018,313,5534,17.68
Bomet,KE036,2018,1210,15980,13.21
Bungoma,KE039,2018,7480,133598,17.86
Busia,KE040,2018,4614,77064,16.7
Elegeyo-Marakwet,KE028,2018,51,574.9,11.27
Embu,KE014,2018,318,3457,10.87
Garissa,KE007,2018,0,0,0
Homa Bay,KE043,2018,14268,216980,15.21
Kajiado,KE034,2018,8,83,10.38
Kakamega,KE037,2018,4277.5,28554,6.68
Kericho,KE035,2018,316,4571,14.47
Kiambu,KE022,2018,1631,9619.2,5.9
Kilifi,KE003,2018,254,2269,8.93
Kirinyaga,KE020,2018,617.8,5673.5,9.18
Kisii,KE045,2018,576,8683,15.07
Kisumu,KE042,2018,2855,33290,11.66
Kitui,KE015,2018,421,6111,14.52
Kwale,KE002,2018,371,6820,18.38
Laikipia,KE031,2018,138,2140,15.51
Lamu,KE005,2018,15,450,30
Machakos,KE016,2018,1973,10250,5.2
