Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,1780000,350,623000000
2015,Uasin Gishu,KE027,5621342,400,2248536800
2015,Turkana,KE023,580500,400,232200000
2015,Embu,KE014,927150,360,333774000
2015,Meru,KE012,4000000,375,1500000000
2015,Thakara Nithi,KE004,2488143,375,933053625
2015,Isiolo,KE011,    ,340,    
2015,Marsabit,KE010,28002000,340,9520680000
2015,Kilifi,KE003,1893285,375,709981875
2015,Kwale,KE002,3211020,320,1027526400
2015,Mombasa,KE001,100,380,38000
2015,Taita Taveta,KE006,1130761,380,429689085
2015,Vihiga,KE038,1531100,350,535885000
2015,Kakamega,KE037,4675390,340,1589632600
2015,Kitui,KE015,9535776,400,3814310400
2015, Machakos ,KE016,5264700,398,2095350600
2015, Kajiado ,KE034,12203422,350,4271197848
2015, Makueni ,KE017,5611536,400,2244614400
2015,Kisumu,KE042,3002805,340,1020953700
2015,Homabay,KE043,5585434,350,1954901900
2015,Siaya,KE041,850230,340,289078200
2015, Bungoma ,KE039,27253562,340,9266211080
2015,Laikipia,KE031,2933000,350,1026550000
2015,Samburu,KE025,270337,360,97321320
2015, Kisii ,KE045,1674016,350,585905600
2015, Nyamira ,KE046,447000,300,134100000
2015, Bomet ,KE036,22801112,360,8208400320
2015, Narok ,KE033,2401976,400,960790400
2015, BARINGO ,KE030,1917985,300,575395500
2015, Kericho ,KE035,30800,360,11088000
2015, Nandi ,KE029,236675,380,89936500
2015, Elgeyo marakwet ,KE028,277451,400,110980400
2015, Kirinyaga ,KE020,19800,320,6336000
2015, Nakuru ,KE032,,400,    
2015, Nyeri ,KE019,811532,360,292151520
2015, Lamu ,KE005,408600,320,130752000
2015, Garissa ,KE007,136500,400,54600000
2015,Tana River,KE004,,,    
2015, Migori ,KE044,3938300,330,1299639000
2015, Nairobi ,KE047,12985800,450,5843610000
2015,West Pokot,KE024,5584500,300,1675350000
2015, Busia ,KE040,1752140,360,630770400
2015, Nyandarua ,KE018,34583900,350,12104365000
2015, Kiambu ,KE022,10525407,350,3683892450
2015, Murang'a ,KE021,2692260,350,942291000
2015, Wajir ,KE008,487382,375,182768250
2015, Mandera ,KE009,257000000,375,96375000000
2016,Uasin Gishu,KE027,5917202,360,2130192758
2016,West Pokot,KE024,5863700,400,2345480000
2016,Turkana ,KE023,337470,500,168735000
2016,Trans Nzoia,KE026,1850000,350,647500000
2016,Kitui,KE015,9821832,400,3928732800
2016,Machakos,KE016,10672590,400,4269036000
2016, Kajiado ,KE034,12691559,350,4442045761
2016,Makueni,KE017,5723767,400,2289506688
2016,Migori,KE044,23564860,400,9425944000
2016,Siaya,KE041,3798255,340,1291406700
2016,Kisumu,KE042,2552000,350,893200000
2016,Homa Bay,KE043,5227300,360,1881828000
2016,Taita Taveta,KE006,1032850,380,392483000
2016,Mombasa,KE001,98100,370,36297000
2016,Kilifi,KE003,4104006,370,1518482220
2016,Kwale ,KE002,1238735,360,445944600
2016,Bomet,KE036,2511100,360,903996000
2016,Kisii,KE045,1762215,340,599153100
2016,Narok,KE033,11907000,400,4762800000
2016,Nyamira,KE046,583100,400,233240000
2016,Nairobi,KE047,1879350,340,638979000
2016,Nyeri,KE019,1866150,350,653152500
2016,Meru ,KE012,6574500,360,2366820000
2016,Tharaka Nithi,KE013,2597743,360,935187480
2016,Isiolo,KE011,332550,340,113067000
2016,Bungoma,KE039,2482820,340,844158800
2016,Busia,KE040,17373838,300,5212151400
2016,Vihiga,KE038,1723800,420,723996000
2016,Garissa,KE007,3210450,400,1284180000
2016,Lamu,KE005,382000,400,152800000
2016,Mandera,KE009,258000000,400,1.032E+11
2016,Tana River,KE004,10586000,400,4234400000
2016,Kirinyaga,KE020,2287537,350,800637950
2016,Nakuru ,KE032,47155625,400,18862250000
2016,Embu,KE014,1020000,350,357000000
2016,Kakamega,KE037,7108250,400,2843300000
2016, Kiambu ,KE022,2334224,400,933689680
2016,Samburu ,KE025,270337,360,97321320
2016,Laikipia,KE031,12306250,400,4922500000
2016,Muranga,KE001,2692300,360,969228000
2016,Kericho,KE035,1711784,360,616242240
2016,Nandi,KE029,1937945,400,775177840
2016,Elgeyomarakwet,KE028,586135,350,205147250
2016,Baringo,KE030,2024304,320,647777434
2016,Nyandarua,KE018,799025,350,279658750
2016, Wajir ,KE008,487382,400,194952800
2016,Mandera,KE009,28002000,400,11200800000
