Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,106000000,30,3180000000
2015,Uasin Gishu,KE027,196083090,28,5490326520
2015,Turkana,KE023,196544229,45,8844490289
2015,Embu,KE014,39995300,45,1799788500
2015,Meru,KE012,120000000,60,7200000000
2015,Thakara Nithi,KE004,41395263,45,1862786835
2015,Isiolo,KE011,1932500,60,115950000
2015,Marsabit,KE010,130661720,110,14372789200
2015,Kilifi,KE003,27547332,50,1377366600
2015,Kwale,KE002,14230080,70,996105600
2015,Mombasa,KE001,1098443,70,76891010
2015,Taita Taveta,KE006,18953459,35,663371052
2015,Vihiga,KE038,28413850,60,1704831000
2015,Kakamega,KE037,103111584,60,6186695040
2015,Kitui,KE015,10313407,60,618804396
2015, Machakos ,KE016,39365076,55,2165079180
2015, Kajiado ,KE034,33881420,70,2371699434
2015, Makueni ,KE017,26089070,60,1565344224
2015,Kisumu,KE042,26255800,50,1312790000
2015,Homabay,KE043,71503839,60,4290230340
2015,Siaya,KE041,12605700,60,756342000
2015, Bungoma ,KE039,200646059,60,12038763516
2015,Laikipia,KE031,30671600,45,1380222000
2015,Samburu,KE025,3627650,60,217659000
2015, Kisii ,KE045,182819846,50,9140992280
2015, Nyamira ,KE046,9810088,50,490504400
2015, Bomet ,KE036,47699854,35,1669494888
2015, Narok ,KE033,78085561,40,3123422440
2015, BARINGO ,KE030,25564702,40,1022588080
2015, Kericho ,KE035,236322720,50,11816136000
2015, Nandi ,KE029,419953,32,13438488
2015, Elgeyo marakwet ,KE028,62903340,40,2516133600
2015, Kirinyaga ,KE020,16050000,30,481500000
2015, Nakuru ,KE032,181548968,57,10348291175
2015, Nyeri ,KE019,122606459,48,5885110056
2015, Lamu ,KE005,3837462,80,306996984
2015, Garissa ,KE007,4444450,70,311111500
2015,Tana River,KE004,58442310,,    
2015, Migori ,KE044,39810847,55,2189596585
2015, Nairobi ,KE047,31070056,60,1864203360
2015,West Pokot,KE024,8768838,50,438441900
2015, Busia ,KE040,31459628,60,1887577680
2015, Nyandarua ,KE018,225827586,30,6774827580
2015, Kiambu ,KE022,334000288,30,10020008640
2015, Murang'a ,KE021,167609665,30,5028289950
2015, Wajir ,KE008,83330262,90,7499723580
2015, Mandera ,KE009,10855000,90,976950000
2016,Uasin Gishu,KE027,200084786,30,6002543571
2016,West Pokot,KE024,85587870,50,4279393500
2016,Turkana ,KE023,43012658,60,2580759498
2016,Trans Nzoia,KE026,113200000,30,3396000000
2016,Kitui,KE015,10970864,60,658251864
2016,Machakos,KE016,46338365,60,2780301924
2016, Kajiado ,KE034,67105262,60,4026315705
2016,Makueni,KE017,26705277,65,1735842987
2016,Migori,KE044,38332378,60,2299942680
2016,Siaya,KE041,25553472,60,1533208320
2016,Kisumu,KE042,27086916,60,1625214960
2016,Homa Bay,KE043,72507970,60,4350478200
2016,Taita Taveta,KE006,14182200,30,425466000
2016,Mombasa,KE001,1197209,60,71832540
2016,Kilifi,KE003,25960982,60,1557658920
2016,Kwale ,KE002,11700000,50,585000000
2016,Bomet,KE036,178166261,30,5344987833
2016,Kisii,KE045,216631049,50,10831552425
2016,Narok,KE033,82944000,30,2488320000
2016,Nyamira,KE046,113802208,50,5690110400
2016,Nairobi,KE047,16448894,50,822444700
2016,Nyeri,KE019,149522590,50,7476129500
2016,Meru ,KE012,149575940,60,8974556400
2016,Tharaka Nithi,KE013,55206754,35,1932236390
2016,Isiolo,KE011,6800000,60,408000000
2016,Bungoma,KE039,97985486,60,5879129160
2016,Busia,KE040,75925554,60,4555533240
2016,Vihiga,KE038,29442000,60,1766520000
2016,Garissa,KE007,14564946,70,1019546220
2016,Lamu,KE005,6551910,70,458633700
2016,Mandera,KE009,11855000,70,829850000
2016,Tana River,KE004,12004524,70,840316680
2016,Kirinyaga,KE020,86366087,30,2590982610
2016,Nakuru ,KE032,220063428,40,8802537112
2016,Embu,KE014,42882847,35,1500899645
2016,Kakamega,KE037,152884209,60,9173052540
2016, Kiambu ,KE022,308818919,40,12352756760
2016,Samburu ,KE025,3627650,60,217659000
2016,Laikipia,KE031,64723326,40,2588933040
2016,Muranga,KE001,167610000,35,5866350000
2016,Kericho,KE035,155000000,40,6200000000
2016,Nandi,KE029,195489325,30,5864679750
2016,Elgeyomarakwet,KE028,49148118,40,1965924720
2016,Baringo,KE030,34617428,50,1730871409
2016,Nyandarua,KE018,393296280,30,11798888400
2016, Wajir ,KE008,83330262,70,5833118340
2016, Mandera ,KE009,130661720,70,9146320400
