Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,400000,400,160000000
2015,Uasin Gishu,KE027,663888,480,318666240
2015,Turkana,KE023,495288,400,198115200
2015,Embu,KE014,40640,425,17272000
2015,Meru,KE012,681000,410,279210000
2015,Thakara Nithi,KE004,131453,400,52581200
2015,Isiolo,KE011,    ,400,    
2015,Marsabit,KE010,1325000,400,530000000
2015,Kilifi,KE003,35430,400,14172000
2015,Kwale,KE002,271536,360,97752960
2015,Mombasa,KE001,    ,400,    
2015,Taita Taveta,KE006,34030,400,13611921
2015,Vihiga,KE038,20416,500,10208000
2015,Kakamega,KE037,176410,360,63507600
2015,Kitui,KE015,359558,480,172588032
2015,Machakos,KE016,26400,446,11774400
2015,Kajiado,KE034,6360696,400,2544278436
2015,Makueni,KE017,552053,450,248423760
2015,Kisumu,KE042,288208,300,86462400
2015,Homabay,KE043,291850,380,110903000
2015,Siaya,KE041,84500,360,30420000
2015,Bungoma,KE039,120493,360,43377480
2015,Laikipia,KE031,789200,400,315680000
2015,Samburu,KE025,75990,400,30396000
2015,Kisii,KE045,64636,400,25854400
2015,Nyamira,KE046,36850,400,14740000
2015,Bomet,KE036,839541,440,369398040
2015,Narok,KE033,2289979,400,915991600
2015,BARINGO,KE030,275803,400,110321200
2015,Kericho,KE035,9369,400,3747600
2015,Nandi,KE029,71595,400,28638000
2015,Elgeyo marakwet,KE028,8843,500,4421530
2015,Kirinyaga,KE020,5000,350,1750000
2015,Nakuru,KE032,1875723,500,937861500
2015,Nyeri,KE019,975559,380,370712230
2015,Lamu,KE005,6000,400,2400000
2015,Garissa,KE007,1380000,480,662400000
2015,Tana River,KE004,,,    
2015,Migori,KE044,1366580,450,614961000
2015,Nairobi,KE047,1496820,500,748410000
2015,West Pokot,KE024,212058,350,74220300
2015,Busia,KE040,29525,260,7676500
2015,Nyandarua,KE018,37930300,400,15172120000
2015,Kiambu,KE022,19798400,350,6929440000
2015,Murang'a,KE021,33804,350,11831400
2015,Wajir,KE008,1317942,390,513997380
2015,Mandera,KE009,103037184,390,40184501760
2016,Uasin Gishu,KE027,698829,380,265555200
2016,West Pokot,KE024,233200,400,93280000
2016,Turkana ,KE023,243100,600,145860000
2016,Trans Nzoia,KE026,410000,400,164000000
2016,Kitui,KE015,460714,480,221142528
2016,Machakos,KE016,32784,450,14752800
2016,Kajiado,KE034,5218790,400,2087516160
2016,Makueni,KE017,570348,450,256656669
2016,Migori,KE044,327710,450,147469500
2016,Siaya,KE041,541787,360,195043320
2016,Kisumu,KE042,168900,400,67560000
2016,Homa Bay,KE043,259760,400,103904000
2016,Taita Taveta,KE006,54840,400,21936000
2016,Mombasa,KE001,1720,370,636400
2016,Kilifi,KE003,569080,370,210559600
2016,Kwale ,KE002,356311,420,149650620
2016,Bomet,KE036,98231,420,41257020
2016,Kisii,KE045,56419,400,22567500
2016,Narok,KE033,1756855,400,702742000
2016,Nyamira,KE046,3360,500,1680000
2016,Nairobi,KE047,84558,400,33823200
2016,Nyeri,KE019,606510,350,212278500
2016,Meru ,KE012,1431000,400,572400000
2016,Tharaka Nithi,KE013,103720,420,43562400
2016,Isiolo,KE011,52890,400,21156000
2016,Bungoma,KE039,133689,360,48128040
2016,Busia,KE040,54447,400,21778800
2016,Vihiga,KE038,26385,500,13192500
2016,Garissa,KE007,455385,390,177600150
2016,Lamu,KE005,8000,400,3200000
2016,Mandera,KE009,3551875,390,1385231250
2016,Tana River,KE004,922620,400,369048000
2016,Kirinyaga,KE020,8843,380,3360340
2016,Nakuru ,KE032,1492564,450,671653800
2016,Embu,KE014,67180,400,26872000
2016,Kakamega,KE037,98002,360,35280720
2016,Kiambu,KE022,600403,500,300201450
2016,Samburu ,KE025,75990,400,30396000
2016,Laikipia,KE031,1579400,450,710730000
2016,Muranga,KE001,34000,380,12920000
2016,Kericho,KE035,120995,420,50817900
2016,Nandi,KE029,541271,450,243572022
2016,Elgeyomarakwet,KE028,237068,450,106680600
2016,Baringo,KE030,295211,400,118084332
2016,Nyandarua,KE018,613280,400,245312000
2016,Wajir,KE008,1317942,390,513997380
2016,Mandera,KE009,1325000,390,516750000
