Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,100000,400,40000000
2015,Uasin Gishu,KE027,497502,480,238800960
2015,Turkana,KE023,766728,400,306691200
2015,Embu,KE014,171485,425,72881125
2015,Meru,KE012,1425000,425,605625000
2015,Thakara Nithi,KE004,576508,400,230603200
2015,Isiolo,KE011,    ,400,    
2015,Marsabit,KE010,1875000,400,750000000
2015,Kilifi,KE003,1217760,400,487104000
2015,Kwale,KE002,868320,360,312595200
2015,Mombasa,KE001,20,400,8000
2015,Taita Taveta,KE006,180071,400,72028460
2015,Vihiga,KE038,27157,500,13578500
2015,Kakamega,KE037,88430,360,31834800
2015,Kitui,KE015,4355554,480,2090665728
2015,Machakos,KE016,1544976,446,689059296
2015,Kajiado,KE034,5004422,400,2001768752
2015,Makueni,KE017,3158678,450,1421405280
2015,Kisumu,KE042,667546,400,267018400
2015,Homabay,KE043,901690,380,342642200
2015,Siaya,KE041,7384,360,2658150
2015,Bungoma,KE039,72540,360,26114400
2015,Laikipia,KE031,1012000,400,404800000
2015,Samburu,KE025,141300,400,56520000
2015,Kisii,KE045,426434,400,170573600
2015,Nyamira,KE046,267820,400,107128000
2015,Bomet,KE036,541576,440,238293440
2015,Narok,KE033,835785,400,334314000
2015,BARINGO,KE030,1113120,400,445248000
2015,Kericho,KE035,13004,400,5201600
2015,Nandi,KE029,19597,400,7838800
2015,Elgeyo marakwet,KE028,78331,500,39165350
2015,Kirinyaga,KE020,40850,380,15523000
2015,Nakuru,KE032,1111187,500,555593500
2015,Nyeri,KE019,603654,420,253534680
2015,Lamu,KE005,315150,400,126060000
2015,Garissa,KE007,1380000,480,662400000
2015,Tana River,KE004,,,    
2015,Migori,KE044,503130,450,226408500
2015,Nairobi,KE047,3853170,500,1926585000
2015,West Pokot,KE024,247858,350,86750300
2015,Busia,KE040,117125,380,44507500
2015,Nyandarua,KE018,13102000,400,5240800000
2015,Kiambu,KE022,15828700,400,6331480000
2015,Murang'a,KE021,168420,350,58947000
2015,Wajir,KE008,1537620,390,599671800
2015,Mandera,KE009,1251770,390,488190300
2016,Uasin Gishu,KE027,523686,380,199000800
2016,West Pokot,KE024,272700,400,109080000
2016,Turkana ,KE023,1037256,600,622353600
2016,Trans Nzoia,KE026,109000,400,43600000
2016,Kitui,KE015,5418110,480,2600692992
2016,Machakos,KE016,1718090,450,773140500
2016,Kajiado,KE034,5745451,400,2298180480
2016,Makueni,KE017,3143659,450,1414646640
2016,Migori,KE044,281074,450,126483300
2016,Siaya,KE041,770199,360,277271640
2016,Kisumu,KE042,149960,400,59984000
2016,Homa Bay,KE043,1575000,400,630000000
2016,Taita Taveta,KE006,378300,400,151320000
2016,Mombasa,KE001,28560,380,10852800
2016,Kilifi,KE003,374160,380,142180800
2016,Kwale ,KE002,687120,420,288590400
2016,Bomet,KE036,152700,420,64134000
2016,Kisii,KE045,484706,400,193882400
2016,Narok,KE033,1756855,400,702742000
2016,Nyamira,KE046,87514,500,43757000
2016,Nairobi,KE047,182976,400,73190400
2016,Nyeri,KE019,344460,350,120561000
2016,Meru ,KE012,666438,400,266575200
2016,Tharaka Nithi,KE013,850420,420,357176400
2016,Isiolo,KE011,78370,400,31348000
2016,Bungoma,KE039,62575,360,22527000
2016,Busia,KE040,113593,400,45437200
2016,Vihiga,KE038,23310,500,11655000
2016,Garissa,KE007,1724692,350,603642200
2016,Lamu,KE005,99000,400,39600000
2016,Mandera,KE009,10417226,350,3646029100
2016,Tana River,KE004,2350800,400,940320000
2016,Kirinyaga,KE020,78331,380,29765780
2016,Nakuru ,KE032,1298192,450,584186400
2016,Embu,KE014,224270,400,89708000
2016,Kakamega,KE037,63777,360,22959720
2016,Kiambu,KE022,198845,500,99422450
2016,Samburu ,KE025,141300,400,56520000
2016,Laikipia,KE031,1326880,450,597096000
2016,Muranga,KE001,168500,380,64030000
2016,Kericho,KE035,128885,420,54131700
2016,Nandi,KE029,93375,450,42018696
2016,Elgeyomarakwet,KE028,222858,450,100286100
2016,Baringo,KE030,1260062,400,504024748
2016,Nyandarua,KE018,242224,385,93256240
2016,Wajir,KE008,1537620,350,538167000
2016,Mandera,KE009,1875000,350,656250000
