Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,    ,,    
2015,Uasin Gishu,KE027,16549,250,4137250
2015,Turkana,KE023,,,    
2015,Embu,KE014,66332,,    
2015,Meru,KE012,    ,,    
2015,Thakara Nithi,KE004,12614,,    
2015,Isiolo,KE011,    ,,    
2015,Marsabit,KE010,    ,,    
2015,Kilifi,KE003,5025,250,1256250
2015,Kwale,KE002,692,400,276800
2015,Mombasa,KE001,    ,,    
2015,Taita Taveta,KE006,2003,250,500826
2015,Vihiga,KE038,1440,300,432000
2015,Kakamega,KE037,31736,350,11107460
2015,Kitui,KE015,221021,250,55255250
2015,Machakos,KE016,41283,220,9082260
2015,Kajiado,KE034,14338,,    
2015,Makueni,KE017,50449,1000,50448950
2015,Kisumu,KE042,2136,,    
2015,Homabay,KE043,2845,120,341400
2015,Siaya,KE041,4360,300,1308000
2015,Bungoma,KE039,6709,,    
2015,Laikipia,KE031,2000,250,500000
2015,Samburu,KE025,32765,250,8191250
2015,Kisii,KE045,21790,200,4358000
2015,Nyamira,KE046,20100,250,5025000
2015,Bomet,KE036,    ,200,    
2015,Narok,KE033,,,    
2015,BARINGO,KE030,723,200,144600
2015,Kericho,KE035,    ,    ,    
2015,Nandi,KE029,250,200,50000
2015,Elgeyo marakwet,KE028,10834,100,1083400
2015,Kirinyaga,KE020,900,200,180000
2015,Nakuru,KE032,14063,120,1687560
2015,Nyeri,KE019,9143,200,1828500
2015,Lamu,KE005,119,200,23800
2015,Garissa,KE007,,,    
2015,Tana River,KE004,,,    
2015,Migori,KE044,12628,250,3157000
2015,Nairobi,KE047,5844,750,4383000
2015,West Pokot,KE024,16601,250,4150125
2015,Busia,KE040,2488,70,174160
2015,Nyandarua,KE018,    ,,    
2015,Kiambu,KE022,3409,300,1022700
2015,Murang'a,KE021,9323,300,2796900
2015,Wajir,KE008,96,,    
2015,Mandera,KE009,,,    
2016,Uasin Gishu,KE027,17420,250,4355000
2016,West Pokot,KE024,103990,600,62394000
2016,Turkana ,KE023,    ,,    
2016,Trans Nzoia,KE026,    ,    ,    
2016,Kitui,KE015,86777,250,21694125
2016,Machakos,KE016,53635,500,26817550
2016,Kajiado,KE034,16656,,    
2016,Makueni,KE017,33381,600,20028750
2016,Migori,KE044,11096,300,3328700
2016,Siaya,KE041,13341,300,4002300
2016,Kisumu,KE042,2178,200,435600
2016,Homa Bay,KE043,2880,120,345600
2016,Taita Taveta,KE006,791,250,197750
2016,Mombasa,KE001,50,550,27500
2016,Kilifi,KE003,1970,550,1083720
2016,Kwale ,KE002,122,,    
2016,Bomet,KE036,31636,,    
2016,Kisii,KE045,36196,300,10858650
2016,Narok,KE033,267135,150,40070250
2016,Nyamira,KE046,19900,500,9950000
2016,Nairobi,KE047,9240,300,2772000
2016,Nyeri,KE019,116547,500,58273333
2016,Meru ,KE012,351507,,    
2016,Tharaka Nithi,KE013,12600,,    
2016,Isiolo,KE011,    ,,    
2016,Bungoma,KE039,8130,,    
2016,Busia,KE040,22606,150,3390900
2016,Vihiga,KE038,1290,300,387000
2016,Garissa,KE007,91,,    
2016,Lamu,KE005,1200,200,240000
2016,Mandera,KE009,    ,,    
2016,Tana River,KE004,    ,,    
2016,Kirinyaga,KE020,10834,280,3033520
2016,Nakuru ,KE032,13356,200,2671200
2016,Embu,KE014,6969,500,3484500
2016,Kakamega,KE037,30428,300,9128400
2016,Kiambu,KE022,2907,350,1017450
2016,Samburu ,KE025,32765,300,9829500
2016,Laikipia,KE031,184590,300,55377000
2016,Muranga,KE001,9323,300,2796900
2016,Kericho,KE035,730,500,365000
2016,Nandi,KE029,80493,,    
2016,Elgeyomarakwet,KE028,3100,300,930000
2016,Baringo,KE030,2346,200,469200
2016,Nyandarua,KE018,87967,200,17593333
2016,Wajir,KE008,96,,    
2016,Mandera,KE009,    ,,    
