id,workspace,layer,layer_label,status
1,Acrisols,ferric_acrisols,Ferric,1
2,Acrisols,haplic_acrisols,Haplic,1
3,Acrisols,humic_acrisols,Humic,1
4,Acrisols,plinthic_acrisols,Plinthic,1
5,Alisols,haplic_alisols,Haplic,1
6,Andosols,umbric_andosols,Umbric,1
7,Andosols,molic_andosols,Molic,1
8,Arenosols,albic_arenosols,Albic,1
9,Arenosols,cambic_arenosols,Cambic,1
10,Arenosols,ferralic_arenosols,Ferralic,1
11,Arenosols,haplic_arenosols,Haplic,1
12,Arenosols,luvic_arenosols,Luvic,1
13,Calcisols,haplic_calcisols,Haplic,1
14,Calcisols,petric_calcisols,Petric,1
15,Cambisols,calcaric_cambisols,Calcaric,1
16,Cambisols,chromic_cambisols,Chromic,1
17,Cambisols,dystric_cambisols,Dystric,1
18,Cambisols,eutric_cambisols,Eutric,1
19,Cambisols,ferralic_cambisols,Ferralic,1
20,Cambisols,humic_cambisols,Humic,1
21,Chernozems,calcic_chernozems,Calcic,1
22,Ferralsols,haplic_ferralsols,Haplic,1
23,Ferralsols,humic_ferralsols,Humic,1
24,Ferralsols,rhodic_ferralsols,Rhodic,1
25,Ferralsols,xanthic_ferralsols,Xanthic,1
26,Fluvisols,calcaric_fluvisols,Calcaric,1
27,Fluvisols,eutric_fluvisols,Eutric,1
28,Gleysols,calcic_gleysols,Calcic,1
29,Gleysols,eutric_gleysols,Eutric,1
30,Gleysols,mollic_gleysols,Molic,1
31,Gleysols,umbric_gleysols,Umbric,1
32,Leptosols,eutric_leptosols,Eutric,1
33,Leptosols,lithic_leptosols,Lithic,1
34,Leptosols,umbric_leptsosls,Umbric,1
35,Lixisols,ferric_lixisols,Ferric,1
36,Lixisols,haplic_lixisols,Haplic,1
37,Luvisols,calcic_luvisols,Calcic,1
38,Luvisols,chromic_luvisols,Chromic,1
39,Luvisols,ferric_luvisols,Ferric,1
40,Luvisols,gleyic_luvisols,Gleyic,1
41,Luvisols,haplic_luvisols,Haplic,1
42,Luvisols,calcaric_luvisols,Calcaric,1
43,Luvisols,eutric_luvisols,Eutric,1
44,Nitosols,haplic_nitosols,Haplic,1
45,Nitosols,humic_nitosols,Humic,1
46,Nitosols,rhodic_nitosols,Rhodic,1
47,Phaeozems,gleyic_phaeozems,Gleyic,1
48,Phaeozems,haplic_phaeozems,Haplic,1
49,Phaeozems,luvic_phaeozems,Luvic,1
50,Planosols,dystric_planosols,Dystric,1
51,Planosols,eutric_planosols,Eutric,1
52,Regosols,calcaric_regosols,Calcaric,1
53,Regosols,dystric_regosols,Dystric,1
54,Regosols,eutric_regosols,Eutric,1
55,Solonchaks,calcic_solonchaks,Calcic,1
56,Solonchaks,gleyic_solonchaks,Gleyic,1
57,Solonchaks,haplic_solonchaks,Haplic,1
58,Solonchaks,sodic_solonchacks,Sodic,1
59,Solonetz,calcic_solonetz,Calcic,1
60,Solonetz,gleyic_solonetz,Gleyic,1
61,Solonetz,haplic_solonetz,Haplic,1
62,Solonetz,mollic_solonetz,Molic,1
63,Solonetz,stagnic_solonetz,Stagnic,1
64,Vertsols,eutric_vertosols,Eutric,1
