Crop ,Indicator,Indicator Name,Region Name,province_id,Region - RegionId,Scale,Units,2011,2012,2013,2014,2015,2016,2017
Maize,Area Planted,Maize Area Planted,Zambia,,ZM,units,Ha,1355764.111,1274983.476,1283683.088,1375786.736,1452988.049,1332525.266,1604497.044
Maize,Area Planted,Maize Area Planted,Central Province,29,ZM-02,units,Ha,211184.6965,184048.1466,206011.8342,235685.3803,255165.363,234200.909,281871.5796
Maize,Area Planted,Maize Area Planted,Copperbelt Province,30,ZM-08,units,Ha,102652.8075,95215.22908,75496.20507,80885.30887,82847.66389,78654.14194,84596.21511
Maize,Area Planted,Maize Area Planted,Eastern Province,31,ZM-03,units,Ha,310043.4902,277625.2635,295247.9315,330844.5226,321861.0628,285163.66,388436.211
Maize,Area Planted,Maize Area Planted,Luapula Province,32,ZM-04,units,Ha,44282.98818,46827.27317,36819.54655,45506.16864,53487.70936,51125.81025,47064.64118
Maize,Area Planted,Maize Area Planted,Lusaka Province,33,ZM-09,units,Ha,49880.82151,36935.88657,40873.10922,41884.61792,42421.08934,40739.77269,50715.57833
Maize,Area Planted,Maize Area Planted,Muchinga Province,34,ZM-10,units,Ha,,70143.58982,70750.31944,78727.7843,76841.37243,79538.93866,97963.57405
Maize,Area Planted,Maize Area Planted,Northern Province,35,ZM-05,units,Ha,151943.7037,98575.9381,80143.86,101254.744,104363.2541,100744.4466,108906.9836
Maize,Area Planted,Maize Area Planted,North-Western Province,36,ZM-06,units,Ha,73003.50786,64304.91617,59160.35271,68056.35579,73709.03712,73235.39491,77646.07845
Maize,Area Planted,Maize Area Planted,Southern Province,37,ZM-07,units,Ha,315655.3115,309556.5719,323673.0417,304532.8888,338911.1472,297032.6654,362807.5608
Maize,Area Planted,Maize Area Planted,Western Province,38,ZM-01,units,Ha,97116.78379,91750.66143,95506.88762,88408.96481,103380.35,92089.52631,104488.6218
Maize,Area Planted,Maize Expected Production,Zambia,,ZM,units,Mt,3020379.894,2852687.223,2386785.875,3103483.229,2437442.23,2709939.572,3395590.611
Maize,Expected Production,Maize Expected Production,Central Province,29,ZM-02,units,Mt,558492.8129,494214.6895,425796.795,606036.3384,404252.5156,579092.7912,594009.7896
Maize,Expected Production,Maize Expected Production,Copperbelt Province,30,ZM-08,units,Mt,250189.8433,248623.6255,174472.9942,196803.3523,159344.0441,201568.7263,205130.7486
Maize,Expected Production,Maize Expected Production,Eastern Province,31,ZM-03,units,Mt,584414.7852,577525.1187,565097.071,736936.4925,544670.4283,494076.035,872632.1314
Maize,Expected Production,Maize Expected Production,Luapula Province,32,ZM-04,units,Mt,124885.1092,128775.8166,93092.47572,130251.5714,139202.36,147045.8962,122815.5312
Maize,Expected Production,Maize Expected Production,Lusaka Province,33,ZM-09,units,Mt,109523.1108,96823.08005,81802.6333,108697.0158,78342.56275,96772.98749,110151.7339
Maize,Expected Production,Maize Expected Production,Muchinga Province,34,ZM-10,units,Mt,,226989.1027,203890.321,244293.6187,242315.1523,241473.0886,322654.9516
Maize,Expected Production,Maize Expected Production,Northern Province,35,ZM-05,units,Mt,506989.1472,271379.8605,209515.8758,280219.675,272459.6742,261986.4185,303372.9335
